iter	Passed	Remaining
0	165	49481
1	190	28385
2	223	22157
3	257	19090
4	283	16732
5	306	15032
6	332	13929
7	361	13211
8	391	12662
9	418	12139
10	446	11720
11	473	11375
12	510	11276
13	540	11037
14	566	10759
15	589	10469
16	612	10199
17	637	9984
18	661	9783
19	685	9601
20	708	9408
21	731	9245
22	756	9106
23	783	9009
24	808	8890
25	834	8793
26	861	8711
27	885	8600
28	912	8525
29	942	8484
30	976	8474
31	1011	8468
32	1041	8428
33	1077	8430
34	1115	8445
35	1151	8444
36	1191	8470
37	1229	8479
38	1273	8522
39	1324	8606
40	1381	8726
41	1443	8868
42	1478	8839
43	1530	8905
44	1568	8890
45	1607	8878
46	1660	8940
47	1735	9111
48	1768	9058
49	1805	9028
50	1838	8977
51	1882	8979
52	1919	8945
53	1947	8873
54	1978	8814
55	2005	8739
56	2042	8707
57	2074	8654
58	2096	8564
59	2120	8482
60	2145	8405
61	2170	8331
62	2206	8301
63	2239	8257
64	2267	8196
65	2298	8148
66	2331	8108
67	2372	8096
68	2407	8058
69	2442	8025
70	2480	8000
71	2542	8052
72	2572	7999
73	2598	7934
74	2632	7898
75	2669	7869
76	2694	7803
77	2718	7737
78	2746	7684
79	2777	7638
80	2819	7622
81	2845	7566
82	2876	7521
83	2904	7468
84	2933	7420
85	2973	7399
86	2996	7336
87	3027	7294
88	3056	7246
89	3096	7226
90	3128	7185
91	3157	7138
92	3182	7083
93	3204	7023
94	3228	6966
95	3268	6946
96	3296	6899
97	3327	6857
98	3358	6819
99	3392	6784
100	3433	6765
101	3462	6721
102	3492	6679
103	3523	6641
104	3555	6603
105	3589	6570
106	3622	6533
107	3649	6488
108	3681	6450
109	3718	6422
110	3751	6388
111	3783	6351
112	3819	6320
113	3849	6281
114	3888	6255
115	3915	6210
116	3947	6173
117	3978	6135
118	4012	6102
119	4049	6073
120	4096	6059
